Station,SN,PartNumber,Date,Only_Date,CycleTime,Status,FirstFail,Measurement
STA_FNLFUNC172,S224800005,X13651735001+DA,23/01/2023 02:57:31 p. m.,23/01/2023,198.66s,Failed,AO1 Current Output Mode 10 mA,12.06
STA_FNLFUNC172,S224800005,X13651735001+DA,23/01/2023 03:01:49 p. m.,23/01/2023,192.42s,Failed,AO1 Current Output Mode 10 mA,12.07
STA_FNLFUNC172,S224800005,X13651735001+DA,23/01/2023 03:05:25 p. m.,23/01/2023,192.60s,Failed,AO1 Current Output Mode 10 mA,12.06
STA_FNLFUNC172,S224800005,X13651735001+DA,23/01/2023 03:18:01 p. m.,23/01/2023,198.97s,Failed,AO1 Current Output Mode 10 mA,12.06
STA_FNLFUNC172,S224800005,X13651735001+DA,23/01/2023 03:21:47 p. m.,23/01/2023,198.96s,Failed,AO1 Current Output Mode 10 mA,12.06
STA_FNLFUNC172,S224800005,X13651735001+DA,23/01/2023 03:26:07 p. m.,23/01/2023,189.78s,Failed,AO1 Current Output Mode 10 mA,12.06
